sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; lynch;ProfHolloway;2016-05-09 13:45;1;5;"I'm giving the US Justice Dept and AG Loretta Lynch my award for today. #HB2";;;#HB2;"729728959835979777";https://twitter.com/ProfHolloway/status/729728959835979777
HB2; lynch;jentrification;2016-05-09 13:40;2;11;"waiting on this Loretta Lynch presser like #HB2 pic.twitter.com/YmC1jxoIyx";;;#HB2;"729727799037022208";https://twitter.com/jentrification/status/729727799037022208
HB2; lynch;katieperalta;2016-05-09 13:24;6;7;"fun fact Loretta Lynch is a Greensboro NC native #hb2 https:// twitter.com/ronnieglassber g/status/729713929396563969 ";;;#hb2;"729723847562272768";https://twitter.com/katieperalta/status/729723847562272768
HB2; lynch;EboniC25;2016-05-09 13:22;0;3;"Loretta Lynch presser at 3:30 about HB2 ? As a soccer fan, I've seen what she can do. Sorry not sorry for ya, McCrory";;;;"729723257730027520";https://twitter.com/EboniC25/status/729723257730027520
HB2; lynch;dcexaminer;2016-05-09 13:02;28;8;"JUST IN: Loretta Lynch will announce law enforcement action against N.C. at 3:30 p.m. http:// washex.am/1q9oYxF #HB2 pic.twitter.com/h0A5OuEcFC";;;#HB2;"729718215404867584";https://twitter.com/dcexaminer/status/729718215404867584
HB2; lynch;ronnieglassberg;2016-05-09 12:45;30;9;"Attorney General Lynch has 3:30 pm news conference to announce DOJ's own law enforcement action against NC. #HB2 http://www. charlotteobserver.com/news/politics- government/article76502777.html ";;;#HB2;"729713929396563969";https://twitter.com/ronnieglassberg/status/729713929396563969
HB2; lynch;elizabethleland;2016-05-09 12:36;0;1;"@elizabethleland Attorney General Loretta Lynch , an N.C. native, announce federal action against the state later today. #HB2 #LGBT";North Carolina, USA;@elizabethleland;#HB2 #LGBT;"729711579080609792";https://twitter.com/elizabethleland/status/729711579080609792
HB2; lynch;CharlotteCP;2016-05-09 12:30;0;0;"DOJ Civil Rights AG Loretta Lynch 2 announce law enforcement action against NC amid HB2 back-and-forth ncpol http:// toplocalnow.com/united-states/ north-carolina/charlotte ";Charlotte, NC;;;"729710040202895360";https://twitter.com/CharlotteCP/status/729710040202895360
HB2; lynch;AthansABC11;2016-05-09 12:06;10;2;"#BREAKING US AG Loretta Lynch announcing law enforcement action this afternoon related to #HB2 . Gov filed lawsuit this morning vs DOJ #ABC11";;;#BREAKING #HB2 #ABC11;"729703987797090305";https://twitter.com/AthansABC11/status/729703987797090305
HB2; lynch;Michael_L_Lynch;2016-05-09 11:42;0;0;"Here we go... #HB2 https:// twitter.com/HRC/status/729 692076225482753 ";;;#HB2;"729698120490176512";https://twitter.com/Michael_L_Lynch/status/729698120490176512
HB2; lynch;NickOchsnerWBTV;2016-05-09 10:11;10;5;"NEW: @GovOfficeNC files lawsuit against AG Loretta Lynch & Dpt. of @TheJusticeDept over threat on #HB2 pic.twitter.com/Vvvf0VrZek";;@GovOfficeNC @TheJusticeDept;#HB2;"729675123163316224";https://twitter.com/NickOchsnerWBTV/status/729675123163316224
HB2; lynch;Anewhomestar;2016-05-09 09:38;2;2;"Loretta Lynch doesn't care: Transgenderism of Children is Child Abuse, American College of Pediatricians Rules. #HB2 http://www. theblaze.com/stories/2016/0 3/26/transgenderism-of-children-is-child-abuse-american-college-of-pediatrics-rules/ ";;;#HB2;"729666911357812736";https://twitter.com/Anewhomestar/status/729666911357812736
HB2; lynch;MoaninMary;2016-05-07 06:23;1;0;"NC Gov.McCrory think twice abt defying AG Lynch 's threat to pull ALL federal funds b/c of #HB2 . If he doesn't ur educational system is DONE";;;#HB2;"728892928974802944";https://twitter.com/MoaninMary/status/728892928974802944
HB2; lynch;happynmarried2;2016-05-06 11:14;0;0;"@AmericanFamAssc PLEASE PRAY 2 GATHER SIGNATURES DEMANDING THE IMPEACHMENT OF LORRETTA LYNCH : SHES OVERREACHED 10TH AMNMNT in NC HB2 action";;@AmericanFamAssc;;"728603797761593344";https://twitter.com/happynmarried2/status/728603797761593344
HB2; lynch;happynmarried2;2016-05-06 10:59;0;0;"@POTUS Enough! The federal focus, using DOJ resources to go after HB2 IN NC is an outrage! Tenth Amndmnt is clear! Lynch should be impeached";;@POTUS;;"728600005460680704";https://twitter.com/happynmarried2/status/728600005460680704
