 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
HASTAC2016,DigLibArts,5/10/2016 16:52,2,0,"Anyone at #hastac2016 , say hi to @anitaconchita and come her panel on Friday with @anneperez ! @HASTAC @HASTACscholars #diglibarts #dlax",,@anitaconchita @anneperez @HASTAC @HASTACscholars,#hastac2016 #diglibarts #dlax,7.30139E+17,https://twitter.com/DigLibArts/status/730138535047495680,
HASTAC2016,TiffChan29,5/14/2016 13:18,1,5,Thanks to @hastac2016 organizers & presenters and ASU for a great conference! Many wonderful people and ideas. #hastac16,,@hastac2016,#hastac16,7.31534E+17,https://twitter.com/TiffChan29/status/731534234679025664,
HASTAC2016,hastac2016,5/13/2016 17:47,1,2,Lots of cool conversations about #digiped going on at #hastac16 during this session... https:// twitter.com/purplekimchi/s tatus/731238930847162368 ,,,#digiped #hastac16,7.31239E+17,https://twitter.com/hastac2016/status/731239422935453696,
HASTAC2016,purplekimchi,5/13/2016 17:33,1,0,#panelofannes <3 #hastac2016 Fostering and Flourishing: Collaborative Digital Research & Teaching between Faculty and Undergraduates,,,#panelofannes #hastac2016,7.31236E+17,https://twitter.com/purplekimchi/status/731236062039695360,
HASTAC2016,mburnamfink,5/13/2016 16:48,1,1,The workshop is working when people are smiling #eventuality #hastac2016,,,#eventuality #hastac2016,7.31225E+17,https://twitter.com/mburnamfink/status/731224520376258561,
HASTAC2016,vivianfinch,5/13/2016 16:02,1,1,"Thanks for a wonderful 24-hour whirlwind of a conference, @hastac2016 ! So many wonderful presentations, conversations & ppl! #hastac16",,@hastac2016,#hastac16,7.31213E+17,https://twitter.com/vivianfinch/status/731213026230050817,
HASTAC2016,marijel_melo,5/13/2016 15:26,1,4,"Creating empathy maps to envision participants of library, makerspace, alt-ac, and classroom spaces #hastac2016 pic.twitter.com/ywRMPZOTea",Lattie F. Coor Hall,,#hastac2016,7.31204E+17,https://twitter.com/marijel_melo/status/731203931917799424,
HASTAC2016,HASTACscholars,5/12/2016 17:37,1,2,We're using #HASTAC16 but I just realized there are folks using #HASTAC2016 too! Come to our side and save 2 characters.,,,#HASTAC16 #HASTAC2016,7.30874E+17,https://twitter.com/HASTACscholars/status/730874449289969669,
HASTAC2016,clboyles,5/12/2016 16:39,1,2,"Is posting data about ourselves subversive or in service to big brother""? #hastac2016 #femtechnet #DH""",,,#hastac2016 #femtechnet #DH,7.3086E+17,https://twitter.com/clboyles/status/730859872888053761,
HASTAC2016,DawnOpel,5/11/2016 21:13,1,0,#hastac16 is so appreciative of the support of @GitHubEducation for scholarships for students @hastac2016,,@GitHubEducation @hastac2016,#hastac16,7.30567E+17,https://twitter.com/DawnOpel/status/730566644716568577,
HASTAC2016,viola_lasmana,5/11/2016 18:35,1,4,"Leaving 80F LA for 100F Tempe, with portable shade"" in tow. Looking forward to HASTAC friends, old & new! @hastac2016 #HASTAC16""",,@hastac2016,#HASTAC16,7.30527E+17,https://twitter.com/viola_lasmana/status/730526820622319616,
HASTAC2016,DDulceany,5/11/2016 15:46,1,1,So excited for @hastac2016 ! @HASTACscholars #HASTAC16 #ASU #Arizona #DH,,@hastac2016 @HASTACscholars,#HASTAC16 #ASU #Arizona #DH,7.30484E+17,https://twitter.com/DDulceany/status/730484272088244225,
HASTAC2016,viola_lasmana,5/14/2016 14:41,0,3,Thanks @hastac2016 #HASTAC16 #thanksFionaB -- see you next time! pic.twitter.com/nwqLPAOx08,"Tempe, AZ",@hastac2016,#HASTAC16 #thanksFionaB,7.31555E+17,https://twitter.com/viola_lasmana/status/731555158308597760,
